ID,Week,Player,FTM,PTS,AST,REB,TO,FGM,FGA,3PTM,FTA,STL,BLK,Fantasy Points,Weekly Contribution Percentage
173,13,Michael Porter Jr.,6.0,33.0,0.0,13.0,-4.0,22.0,-21.0,5.0,-8.0,4.0,0.0,50.0,3.67
174,14,Coby White,8.0,66.0,42.0,22.0,-16.0,50.0,-51.0,8.0,-10.0,12.0,0.0,131.0,7.92
175,14,Jarrett Allen,2.0,14.0,8.0,11.0,-4.0,12.0,-8.0,0.0,-4.0,0.0,8.0,39.0,2.36
176,14,Franz Wagner,8.0,46.0,26.0,16.0,-20.0,30.0,-37.0,8.0,-9.0,8.0,4.0,80.0,4.84
177,14,Keldon Johnson,5.0,50.0,8.0,25.0,-10.0,44.0,-49.0,1.0,-7.0,16.0,20.0,103.0,6.23
178,14,Jalen Johnson,12.0,74.0,28.0,31.0,-4.0,56.0,-63.0,6.0,-17.0,20.0,12.0,155.0,9.38
179,14,Jonas Valanciunas,4.0,44.0,18.0,31.0,-6.0,38.0,-33.0,2.0,-6.0,0.0,0.0,92.0,5.57
180,14,Devin Booker,27.0,152.0,20.0,16.0,-20.0,112.0,-86.0,13.0,-32.0,16.0,16.0,234.0,14.16
181,14,Damian Lillard,32.0,93.0,48.0,16.0,-16.0,52.0,-74.0,9.0,-35.0,24.0,0.0,149.0,9.01
182,14,Khris Middleton,9.0,38.0,26.0,13.0,-6.0,26.0,-31.0,3.0,-10.0,16.0,0.0,84.0,5.08
183,14,Dejounte Murray,15.0,80.0,40.0,22.0,-18.0,54.0,-60.0,11.0,-18.0,4.0,4.0,134.0,8.11
184,14,Kawhi Leonard,6.0,67.0,30.0,25.0,-10.0,56.0,-44.0,5.0,-6.0,20.0,20.0,169.0,10.22
185,14,Wendell Carter Jr.,1.0,10.0,2.0,9.0,-2.0,8.0,-9.0,1.0,-2.0,8.0,0.0,26.0,1.57
186,14,Jalen Duren,6.0,58.0,24.0,59.0,-10.0,52.0,-42.0,0.0,-8.0,0.0,8.0,147.0,8.89
187,14,Jamal Murray,9.0,63.0,42.0,13.0,-16.0,44.0,-50.0,10.0,-13.0,4.0,4.0,110.0,6.65
188,15,Coby White,11.0,74.0,38.0,15.0,-14.0,54.0,-50.0,9.0,-13.0,4.0,0.0,128.0,7.09
189,15,Tyrese Haliburton,6.0,59.0,40.0,11.0,-16.0,46.0,-44.0,7.0,-7.0,12.0,16.0,130.0,7.2
