ID,Week,Player,FTM,PTS,AST,REB,TO,FGM,FGA,3PTM,FTA,STL,BLK,Fantasy Points,Weekly Contribution Percentage
37,3,Aaron Gordon,7.0,45.0,28.0,31.0,-12.0,36.0,-35.0,2.0,-12.0,12.0,16.0,118.0,8.5
38,3,Damian Lillard,21.0,55.0,20.0,8.0,-4.0,30.0,-40.0,4.0,-23.0,16.0,0.0,87.0,6.26
39,3,Dejounte Murray,10.0,68.0,26.0,12.0,-20.0,44.0,-47.0,14.0,-13.0,24.0,4.0,122.0,8.78
40,3,Kawhi Leonard,11.0,75.0,24.0,19.0,-6.0,58.0,-63.0,6.0,-12.0,12.0,12.0,136.0,9.79
41,3,Walker Kessler,4.0,15.0,0.0,15.0,-2.0,10.0,-12.0,1.0,-6.0,0.0,16.0,41.0,2.95
42,3,Michael Porter Jr.,4.0,64.0,10.0,27.0,-6.0,52.0,-52.0,8.0,-4.0,0.0,12.0,115.0,8.28
43,3,Chris Paul,5.0,37.0,48.0,14.0,-12.0,28.0,-29.0,4.0,-5.0,16.0,0.0,106.0,7.63
44,4,Tyrese Haliburton,7.0,45.0,36.0,9.0,-8.0,30.0,-32.0,8.0,-8.0,8.0,8.0,103.0,7.55
45,4,Jarrett Allen,12.0,48.0,18.0,30.0,-18.0,36.0,-27.0,0.0,-18.0,4.0,32.0,117.0,8.58
46,4,Austin Reaves,13.0,49.0,50.0,31.0,-24.0,30.0,-30.0,6.0,-17.0,4.0,0.0,112.0,8.21
47,4,Keldon Johnson,4.0,43.0,16.0,12.0,-6.0,30.0,-30.0,9.0,-5.0,4.0,4.0,81.0,5.94
48,4,Darius Garland,13.0,70.0,30.0,9.0,-20.0,50.0,-49.0,7.0,-17.0,4.0,4.0,101.0,7.4
49,4,Deni Avdija,4.0,42.0,24.0,15.0,-14.0,32.0,-24.0,6.0,-4.0,16.0,4.0,101.0,7.4
50,4,Aaron Gordon,6.0,45.0,24.0,17.0,-8.0,38.0,-37.0,1.0,-12.0,8.0,8.0,90.0,6.6
51,4,Damian Lillard,33.0,103.0,70.0,15.0,-24.0,56.0,-71.0,14.0,-35.0,16.0,0.0,177.0,12.98
52,4,Kawhi Leonard,10.0,41.0,8.0,10.0,-12.0,26.0,-30.0,5.0,-12.0,40.0,4.0,90.0,6.6
53,4,Dejounte Murray,10.0,58.0,30.0,11.0,-12.0,44.0,-49.0,4.0,-12.0,20.0,0.0,104.0,7.62
54,4,Michael Porter Jr.,2.0,49.0,0.0,22.0,-8.0,38.0,-40.0,9.0,-5.0,8.0,4.0,79.0,5.79
55,4,Mike Conley,5.0,32.0,32.0,7.0,-8.0,22.0,-22.0,5.0,-5.0,12.0,0.0,80.0,5.87
56,4,Chris Paul,4.0,42.0,46.0,12.0,-10.0,28.0,-31.0,10.0,-4.0,28.0,4.0,129.0,9.46
57,5,Tyrese Haliburton,7.0,59.0,52.0,5.0,-8.0,42.0,-45.0,10.0,-8.0,0.0,4.0,118.0,8.26
58,5,Jarrett Allen,7.0,69.0,22.0,35.0,-18.0,62.0,-44.0,0.0,-8.0,12.0,16.0,153.0,10.71
59,5,Austin Reaves,10.0,34.0,30.0,10.0,-8.0,22.0,-21.0,2.0,-10.0,20.0,0.0,89.0,6.23
60,5,Darius Garland,4.0,44.0,28.0,4.0,-20.0,36.0,-33.0,4.0,-5.0,8.0,0.0,70.0,4.9
61,5,Keldon Johnson,12.0,69.0,34.0,26.0,-8.0,50.0,-49.0,7.0,-17.0,12.0,4.0,140.0,9.8
62,5,Deni Avdija,5.0,31.0,20.0,20.0,-8.0,24.0,-28.0,2.0,-6.0,0.0,4.0,64.0,4.48
63,5,Aaron Gordon,5.0,28.0,20.0,26.0,-10.0,22.0,-39.0,1.0,-10.0,12.0,0.0,55.0,3.85
64,5,Damian Lillard,18.0,80.0,44.0,16.0,-10.0,54.0,-56.0,8.0,-21.0,8.0,0.0,141.0,9.87
65,5,Dejounte Murray,11.0,65.0,52.0,18.0,-18.0,46.0,-67.0,8.0,-11.0,32.0,0.0,136.0,9.52
66,5,Kawhi Leonard,14.0,75.0,26.0,22.0,-8.0,56.0,-63.0,5.0,-15.0,16.0,16.0,144.0,10.08
67,5,Michael Porter Jr.,7.0,78.0,10.0,27.0,-16.0,56.0,-59.0,15.0,-9.0,8.0,16.0,133.0,9.31
68,5,Mike Conley,2.0,35.0,48.0,8.0,-6.0,22.0,-27.0,11.0,-2.0,8.0,4.0,103.0,7.21
69,5,Chris Paul,4.0,20.0,44.0,11.0,-4.0,12.0,-13.0,4.0,-4.0,8.0,0.0,82.0,5.74
70,6,Dejounte Murray,4.0,67.0,12.0,8.0,-10.0,54.0,-54.0,9.0,-4.0,36.0,4.0,126.0,9.58
71,6,Kawhi Leonard,16.0,108.0,26.0,32.0,-10.0,84.0,-77.0,8.0,-19.0,20.0,16.0,204.0,15.51
72,6,Tyrese Haliburton,16.0,77.0,38.0,4.0,-10.0,52.0,-45.0,9.0,-21.0,12.0,4.0,136.0,10.34
73,6,Jarrett Allen,4.0,42.0,14.0,29.0,-6.0,38.0,-24.0,0.0,-6.0,4.0,8.0,103.0,7.83
74,6,Jalen Duren,3.0,45.0,12.0,44.0,-24.0,42.0,-31.0,0.0,-11.0,8.0,32.0,120.0,9.13
75,6,Austin Reaves,11.0,50.0,20.0,11.0,-16.0,36.0,-38.0,3.0,-12.0,12.0,4.0,81.0,6.16
76,6,Keldon Johnson,6.0,33.0,12.0,18.0,-8.0,24.0,-22.0,3.0,-7.0,8.0,0.0,67.0,5.1
77,6,Darius Garland,6.0,56.0,40.0,8.0,-24.0,44.0,-56.0,6.0,-8.0,24.0,4.0,100.0,7.6
